"Source" "Target" "Weight"
1 3 19
1 127 17
1 207 49
2 123 5
2 143 5
2 207 22
3 120 36
3 206 29
3 207 337
4 27 20
5 7 89
5 17 310
5 18 576
5 20 173
5 21 466
5 25 258
5 27 300
5 30 290
5 32 59
5 80 765
5 59 87
5 85 227
5 97 349
6 18 3934
6 27 607
6 85 1005
6 89 130
6 93 189
6 97 850
6 98 412
7 21 16009
7 80 132576
7 109 4252
7 18 12824
7 213 34
7 105 829
7 108 1505
7 85 2047
7 8 96
7 15 51
7 17 3099
7 25 4010
7 62 97
7 59 2341
7 86 1263
7 88 2532
7 94 2391
7 97 4224
7 114 109
7 115 1100
7 134 199
7 129 80
7 146 2358
7 147 4139
7 148 2754
7 149 420
7 193 1903
7 207 587
7 209 7134
7 26 832
7 27 1669
7 31 1115
7 67 59
7 71 274
7 91 1087
7 93 1752
7 98 1393
7 104 504
7 111 1073
7 112 969
7 113 620
7 116 356
7 117 451
7 132 162
7 137 884
7 151 1020
7 152 322
7 155 978
7 159 470
7 162 84
7 163 128
7 164 240
7 168 111
7 170 818
7 172 175
7 173 560
7 174 84
7 176 199
7 178 240
7 182 280
8 85 2146
8 12 14
8 14 20
8 15 123
8 17 94
8 18 190
8 21 343
8 57 13
8 62 53
8 71 211
8 59 393
8 88 154
8 93 166
8 94 33
8 97 28
8 98 465
8 132 148
8 134 127
8 136 116
8 137 238
8 182 125
8 209 170
9 10 4
9 12 52
9 13 28
9 14 11
9 16 14
9 41 20
9 73 14
9 85 66
8 10 12
10 12 33
10 14 40
10 16 8
10 62 12
10 67 21
10 85 42
10 98 15
11 12 73
11 13 90
11 16 36
11 21 205
11 25 177
11 60 37
11 64 26
11 67 48
11 71 61
11 73 56
11 80 155
11 94 30
11 98 91
11 136 75
11 137 131
12 13 18
12 16 4
12 17 109
12 41 19
12 57 42
12 62 17
12 65 16
12 85 196
12 98 30
13 18 418
13 21 436
13 67 85
13 71 122
13 85 416
13 132 67
13 136 122
13 25 231
13 39 11
13 41 20
13 64 18
13 73 79
13 75 27
13 80 543
13 98 137
13 134 61
13 137 273
14 62 18
14 67 15
14 85 49
15 85 1084
12 15 36
15 17 149
15 18 676
15 21 242
15 25 245
15 57 35
15 62 63
15 71 196
15 74 73
15 88 292
15 92 21
15 93 19
15 94 69
15 97 173
15 98 90
6 15 41
15 132 172
15 134 133
15 135 134
15 136 109
15 137 157
15 29 12
16 57 4
16 85 42
17 21 2277
17 18 1250
17 19 562
17 20 71
17 25 116
17 26 380
17 27 338
17 30 77
17 31 1126
17 32 521
17 33 868
17 34 612
17 41 130
17 47 98
17 56 32
17 59 5168
17 62 1069
17 71 803
17 75 99
17 80 8659
17 82 839
17 83 52
17 84 452
17 85 1492
17 86 1134
17 87 606
17 88 4887
17 89 513
17 90 135
17 91 79
17 92 564
17 93 198
17 94 2199
17 96 551
17 97 372
17 98 877
6 17 495
17 136 348
17 137 671
17 184 948
17 182 1076
17 189 1424
17 199 1299
17 209 1119
17 100 10
17 102 33
18 21 16539
18 25 1795
18 26 4197
18 27 1761
18 30 3034
18 32 1734
18 59 34715
18 82 1065
18 85 13250
18 86 12276
18 87 2115
18 88 27868
18 91 2680
18 93 5911
18 94 8909
18 97 5553
18 98 15528
18 136 667
18 182 7153
18 185 452
11 18 236
18 19 534
18 20 1624
18 29 707
18 31 4352
18 33 2331
18 34 1206
18 40 168
18 47 132
18 51 184
18 55 155
18 62 1374
18 67 590
18 71 1566
18 73 262
18 80 69855
18 81 554
18 83 1374
18 84 7204
18 89 406
18 90 658
18 92 2191
18 96 2457
18 99 548
18 102 319
18 105 804
18 108 184
18 109 2523
18 115 390
18 131 487
18 132 2601
18 133 1297
18 134 1452
18 135 836
18 137 6429
18 138 873
18 140 382
18 146 944
18 147 5134
18 148 1079
18 150 399
18 151 2228
18 155 690
18 170 255
18 179 640
18 180 397
18 184 1597
18 186 84
18 188 132
18 189 6076
18 190 414
18 193 3401
18 198 199
18 199 4861
18 200 1577
18 203 1096
18 206 4710
18 209 6562
18 95 668
18 100 99
18 22 23
18 183 269
18 66 53
19 20 55
19 21 337
19 25 571
19 27 78
19 30 141
19 31 184
19 32 148
19 33 111
19 34 71
19 85 224
19 86 43
19 88 27
19 98 190
19 184 128
19 182 336
20 21 1852
20 25 187
20 26 1421
20 27 539
20 30 176
20 31 307
20 32 1098
20 33 158
20 34 200
20 80 1411
20 82 15
20 84 436
20 59 3018
20 85 1322
20 86 673
20 87 94
20 88 1048
20 89 261
20 90 98
20 91 547
20 93 761
20 94 1206
20 97 2713
20 98 743
20 147 1198
20 148 453
20 184 146
20 182 288
20 193 866
20 189 176
20 199 543
20 206 587
20 209 1321
21 25 4849
21 31 6199
21 59 35959
21 84 3217
21 85 17841
21 92 2608
21 94 8003
21 98 4419
21 24 399
21 22 720
21 23 2044
21 26 4111
21 27 3706
21 32 4070
21 62 1547
21 71 1326
21 80 70166
21 83 2238
21 88 26781
21 97 5449
21 103 204
21 137 3848
21 139 1005
21 186 105
21 189 2556
21 30 2665
21 33 876
21 66 75
21 82 1588
21 86 6053
21 87 3595
21 90 4300
21 91 1443
21 93 1839
21 101 194
21 105 136
21 108 105
21 109 3280
21 132 2096
21 164 118
21 182 2225
21 34 424
21 89 69
21 96 2043
21 100 30
6 21 790
21 184 1013
22 23 128
22 25 65
18 23 137
23 25 389
23 26 248
21 29 538
21 40 439
21 102 28
21 115 80
21 163 92
21 172 85
21 176 38
21 178 45
21 185 63
21 198 113
21 209 4224
21 35 599
21 47 135
21 60 42
21 67 345
21 73 662
21 79 195
21 117 484
21 131 556
21 133 492
21 134 963
21 135 1130
21 136 594
21 138 831
21 147 1928
21 148 1052
21 149 868
21 150 744
21 151 1851
21 179 615
21 180 315
21 188 117
21 190 724
21 192 31
21 193 369
21 199 148
21 203 1655
21 206 278
24 26 39
21 99 31
25 26 703
25 27 586
25 29 105
25 30 1299
25 31 1303
25 32 489
25 33 786
25 35 280
25 47 115
25 59 4351
25 62 839
25 71 783
25 73 452
25 75 71
25 78 124
25 80 22991
25 82 808
25 83 596
25 84 1066
25 85 2058
25 86 1659
25 87 187
25 88 4232
25 89 291
25 90 241
25 91 150
25 92 747
25 93 398
25 94 1317
25 96 220
25 97 560
25 98 1927
6 25 464
25 105 316
25 109 1858
25 111 489
25 115 290
25 132 330
25 133 503
25 134 495
25 135 659
25 137 2122
25 140 133
25 146 926
25 147 1737
25 148 1544
25 150 609
25 151 1085
25 153 220
25 157 56
25 159 411
25 173 113
25 174 160
25 179 294
25 183 330
25 184 919
25 182 1107
25 185 354
25 189 1799
25 193 1599
25 199 1986
25 203 980
25 206 1672
25 209 4021
25 34 19
26 31 2888
26 34 404
26 59 6329
26 85 6112
26 94 1067
26 27 67
26 29 568
26 30 945
26 32 1480
26 33 539
26 62 210
26 80 14488
26 84 322
26 86 1085
26 87 1293
26 88 8410
26 90 1505
26 92 547
26 93 1279
26 96 959
26 97 1375
26 98 869
26 99 57
26 103 120
26 137 2520
27 30 1627
27 32 1173
27 59 2689
27 28 102
27 33 250
27 85 1972
27 87 1027
27 88 3779
27 92 738
27 94 645
27 97 758
27 98 3738
27 29 477
27 31 457
27 34 105
27 62 346
27 71 875
27 80 7063
27 82 16
27 84 1187
27 86 629
27 89 505
27 90 132
27 91 1650
27 93 120
27 95 179
27 96 553
27 137 881
27 139 26
27 147 491
27 182 862
27 199 1245
27 206 1009
27 209 1905
28 30 8
29 32 786
29 59 2065
29 62 106
29 84 197
29 85 568
29 86 169
29 88 1396
29 92 324
29 93 69
29 94 544
29 97 118
29 98 767
30 31 2590
30 32 2266
30 33 798
30 34 920
30 59 3718
30 80 2046
30 85 1313
30 88 3862
30 90 1118
30 83 283
30 84 668
30 86 1546
30 87 814
30 92 353
30 93 713
30 94 1589
30 97 1299
30 98 1705
6 30 344
30 184 167
30 182 382
30 199 917
30 96 101
31 32 525
31 59 4310
31 88 2594
31 97 2959
31 85 2548
31 92 358
31 93 180
31 182 501
31 86 619
31 91 193
31 184 409
31 33 104
31 34 117
31 80 1781
31 82 170
31 83 232
31 84 393
31 87 141
31 89 211
31 90 172
31 94 1686
31 96 89
31 98 629
6 31 160
31 137 216
31 181 270
31 183 182
31 185 50
31 209 876
32 33 511
32 84 1085
32 59 4687
32 85 4382
32 88 4443
32 98 2192
32 133 344
32 140 173
32 87 533
32 92 567
32 100 39
32 34 56
32 62 147
32 67 177
32 80 4416
32 83 321
32 86 864
32 90 105
32 91 954
32 93 118
32 94 335
32 95 111
32 97 2174
6 32 436
32 137 722
32 182 596
32 199 1195
32 209 862
33 34 145
33 59 902
33 80 444
33 83 210
33 85 1455
33 86 559
33 87 191
33 88 1579
33 90 296
33 91 536
33 92 281
33 93 493
33 97 996
33 98 493
33 180 141
33 183 219
33 184 126
33 182 438
33 185 24
33 188 85
34 83 4
34 59 517
34 85 529
34 86 13
34 88 290
34 90 123
34 91 249
34 93 138
34 98 122
34 184 92
34 182 424
34 185 21
35 36 304
35 40 275
35 47 163
35 50 352
35 55 141
35 137 902
35 53 287
36 53 74
36 73 40
37 67 39
37 85 76
37 48 6
38 41 12
9 39 8
39 62 7
39 67 39
40 45 210
40 46 65
40 51 24
40 73 13
40 85 268
40 137 106
40 189 280
39 41 30
41 48 23
41 67 38
41 73 88
41 85 160
41 98 40
42 67 17
42 73 28
43 73 14
43 44 11
44 45 16
45 46 112
45 85 277
46 73 25
46 85 123
46 199 30
47 50 59
47 55 64
47 56 7
47 67 19
47 59 126
47 85 127
47 94 210
47 137 48
47 151 37
47 209 20
9 48 15
12 48 18
48 67 36
48 85 48
48 98 15
47 49 9
49 94 36
50 67 89
50 73 107
50 94 36
51 73 15
51 137 124
52 67 26
52 85 28
52 98 7
