"Source" "Target" "Weight"
1 2002 10
1 2 7
2 3 24
2 2002 22
2 16 19
2 1029 17
2 1666 49
3 2002 11
3 2018 1
3 2019 2
4 1011 5
4 1190 5
4 1666 22
5 16 48
6 16 28
7 16 35
8 16 50
9 12 4
9 16 49
10 16 41
11 16 54
11 2020 12
12 16 93
12 2020 6
13 16 4
14 16 9
15 16 10
16 2021 6
16 2022 45
16 1008 36
16 1659 29
16 1666 132
16 1668 55
16 1733 150
15 2021 3
9 2022 12
12 2022 12
11 17 22
17 2020 20
16 2023 9
16 2020 20
18 21 9
18 23 9
19 20 11
19 23 16
20 21 100
20 22 8
20 23 77
20 2024 81
21 23 60
21 2025 4
21 2026 6
22 23 8
23 2024 33
23 292 20
24 2026 30
25 157 77
25 193 310
25 196 68
25 199 95
25 204 413
25 225 173
25 237 64
25 246 53
25 248 43
25 257 101
25 259 154
25 272 33
25 273 18
25 280 258
25 291 117
25 292 183
25 301 116
25 308 115
25 365 59
25 529 99
25 574 128
25 591 100
25 625 123
25 645 126
25 730 189
25 754 87
25 806 95
25 810 132
25 893 349
26 199 267
26 201 234
26 203 182
26 204 197
26 208 132
26 209 218
26 210 121
26 292 170
26 810 99
26 862 46
26 875 65
26 891 205
26 893 57
26 904 50
27 132 49
28 2027 8
28 154 5
29 144 5
30 144 10
31 68 18
31 84 15
31 2028 24
32 93 7
33 110 19
34 119 19
34 127 87
34 157 131
35 144 22
36 70 30
36 2029 36
37 2030 7
37 2031 32
38 45 21
38 155 31
39 102 23
39 128 35
39 136 19
39 156 36
40 132 31
41 75 22
41 102 10
41 128 82
41 2032 21
42 118 27
43 108 38
43 132 190
44 150 25
45 2033 46
45 154 25
46 2034 52
47 132 264
47 150 423
48 132 94
48 150 31
46 158 19
49 57 33
50 77 145
50 154 83
50 155 134
50 157 309
51 154 19
52 132 24
25 53 12
53 73 182
53 88 223
53 89 301
53 2035 63
53 94 1127
53 108 360
53 109 92
53 111 197
53 121 16
53 128 1843
53 132 873
53 134 250
53 139 133
53 140 10
53 147 166
53 148 70
53 150 1122
53 153 145
53 157 692
53 2034 205
53 259 841
53 574 329
53 575 847
53 591 1252
53 627 948
53 647 975
53 648 1688
53 682 236
53 691 1364
53 702 987
53 712 242
53 730 118
53 733 1457
53 971 95
53 981 371
54 118 26
55 2036 10
55 2037 42
55 131 27
55 2038 30
56 90 33
56 2031 24
57 66 62
57 2039 16
57 94 68
57 118 35
57 1954 54
57 2040 41
57 2041 78
58 77 91
58 94 143
58 128 96
58 157 152
59 110 23
60 2034 31
61 131 9
62 157 155
63 68 28
63 100 44
63 128 44
64 65 64
64 102 63
65 102 73
65 2042 49
66 2043 19
67 97 5
68 92 32
68 128 48
69 134 16
70 81 31
71 1862 5
71 110 20
72 152 13
72 2034 34
73 77 100
73 107 79
73 150 143
74 2033 32
74 93 15
75 102 102
75 2028 20
75 2032 22
53 76 6
76 121 21
76 2034 39
77 94 485
77 107 109
77 112 109
77 113 198
77 120 79
77 128 381
77 150 1053
77 151 79
77 154 34
77 155 454
77 157 692
77 199 398
77 259 295
77 529 105
77 571 957
77 591 406
