"Source" "Target"
1 4
1 2
1 3
1 1569
2 3
2 1569
2 4
3 1569
3 4
4 1569
1 5
5 1570
5 6
5 7
5 8
5 9
5 296
5 1571
5 10
11 19
11 18
11 12
11 1572
11 13
11 14
11 15
11 16
11 17
13 18
14 18
15 18
16 18
17 18
18 19
12 13
12 14
12 15
12 16
12 17
12 19
13 1572
14 1572
15 1572
16 1572
17 1572
19 1572
13 16
13 17
13 19
14 16
14 17
14 19
15 16
15 17
15 19
20 21
11 21
13 21
15 21
12 20
20 1572
11 20
21 22
21 26
21 23
21 24
21 25
12 26
12 23
12 24
12 25
12 22
26 1572
23 1572
24 1572
25 1572
22 1572
11 24
11 25
11 22
24 26
25 26
22 26
23 24
23 25
22 23
27 28
28 1573
28 29
29 1573
27 1573
27 29
30 31
31 33
32 33
30 32
30 286
33 35
34 35
35 51
36 37
37 1574
34 37
36 38
38 1574
34 38
33 36
33 34
35 39
35 1575
35 40
35 36
36 1575
34 1575
35 1576
35 41
35 42
35 43
35 44
41 45
41 46
35 1577
35 47
35 48
35 49
37 1577
30 1577
37 65
37 1356
50 65
33 45
33 46
51 1577
35 52
46 1577
33 1577
53 65
35 54
55 56
54 55
56 538
54 538
35 65
35 57
35 1356
35 1357
35 1019
58 65
59 65
60 65
61 65
62 65
63 65
64 65
65 1578
65 1579
65 66
65 67
65 68
65 69
65 70
66 68
66 1579
68 70
68 1579
65 71
65 72
65 73
65 74
65 1580
65 75
65 76
71 77
77 1580
75 77
76 77
71 76
72 76
73 76
74 76
76 1580
75 76
71 75
72 75
73 75
74 75
75 1580
71 1580
72 1580
73 1580
74 1580
71 74
72 74
73 74
71 73
72 73
71 72
75 79
75 78
78 1580
78 79
79 1580
75 1581
75 80
80 1581
75 81
80 81
68 75
67 68
68 82
68 83
66 67
67 82
67 83
67 75
66 82
66 83
66 1582
66 75
82 83
82 1582
75 82
75 84
75 83
83 1582
65 82
84 1582
65 84
65 83
76 82
76 84
76 83
61 85
62 85
63 85
64 85
85 1578
62 1019
63 1019
64 1019
61 1019
62 1357
63 1357
64 1357
61 1357
62 1356
63 1356
64 1356
61 1356
62 304
63 304
64 304
61 304
62 86
65 87
63 86
64 86
86 89
86 88
86 91
86 1583
86 93
86 110
86 94
86 95
86 97
89 90
90 91
90 1583
90 93
90 110
90 94
90 95
89 92
91 92
92 1583
92 93
92 110
92 94
92 95
89 96
91 96
96 1583
93 96
96 110
94 96
95 96
89 97
91 97
97 110
94 97
95 97
89 95
91 95
95 110
94 95
89 94
91 94
94 110
89 110
91 110
93 110
89 93
91 93
89 91
61 86
86 1578
62 63
62 64
62 1578
61 62
63 64
63 1578
61 63
64 1578
61 64
61 1578
86 304
86 1584
86 98
86 87
62 98
63 98
62 87
63 87
86 99
86 100
98 100
86 105
86 1585
86 103
86 1586
98 99
98 103
98 105
86 1587
86 101
86 102
86 104
86 1588
62 101
62 102
62 104
62 1588
62 103
62 105
101 102
101 1588
101 105
102 104
102 1588
102 103
102 105
104 1588
103 104
104 105
103 1588
105 1588
103 105
62 99
99 102
99 104
86 106
86 1560
62 106
62 1560
106 1560
86 1589
86 1019
86 1590
65 99
65 102
65 100
61 107
61 108
64 107
64 108
99 107
99 108
105 107
105 108
108 109
65 89
65 110
65 105
107 111
108 111
107 833
108 833
107 112
108 112
107 115
108 115
89 107
89 108
107 113
108 113
107 834
108 834
107 1174
86 114
65 115
116 121
116 701
116 117
117 782
117 119
117 120
118 782
118 119
118 120
116 118
119 782
120 782
116 782
119 120
116 119
