"Source" "Target" "Weight"
954 960 97
954 966 107
954 977 98
954 979 167
536 538 35
536 889 35
536 542 35
536 548 70
536 558 45
536 895 35
536 601 125
536 568 35
536 902 35
536 574 10
536 577 10
536 579 10
536 584 35
536 559 10
536 907 35
536 1260 6
536 591 6
536 596 10
486 536 10
536 599 35
536 919 35
536 610 10
536 611 6
97 670 28
97 99 36
97 101 36
97 776 14
97 642 14
97 109 72
97 105 36
97 107 36
97 647 14
97 648 14
97 781 14
97 649 14
97 783 14
97 659 14
97 665 14
97 115 22
97 669 14
182 1209 52
182 887 52
182 1213 52
182 198 52
182 902 52
182 904 52
182 1239 52
182 340 52
182 1267 104
182 1269 52
182 235 52
1208 1210 106
1210 1225 106
896 1210 86
1210 1235 86
902 1210 86
1210 1249 106
1210 1253 101
1210 1259 106
906 1210 86
1210 1271 106
915 1210 86
1210 1278 106
1210 1281 86
138 139 61
138 140 128
138 142 9
123 138 2
138 143 61
138 1395 20
138 145 5
138 1051 56
138 893 128
138 160 128
138 152 137
126 138 28
138 154 128
138 1074 128
128 138 28
138 902 128
138 159 61
130 138 28
138 162 5
138 166 137
132 138 28
138 1058 56
138 1059 56
138 1061 56
138 169 56
138 900 128
138 1062 56
124 138 2
138 173 128
138 1063 56
138 177 5
138 916 128
138 1081 128
138 1400 20
138 180 61
98 116 14
98 1082 14
98 1083 14
98 371 14
98 99 28
98 636 49
98 923 14
98 1084 14
98 100 7
98 104 28
98 935 14
98 936 14
98 937 28
98 938 14
98 939 14
98 660 49
98 942 35
98 1111 14
98 1105 14
98 666 21
98 950 14
1117 1393 24
266 1393 24
1393 1395 106
1370 1393 102
1122 1393 24
1375 1393 102
893 1393 14
282 1393 24
1376 1393 40
126 1393 49
1126 1393 24
128 1393 49
902 1393 51
130 1393 49
1374 1393 292
1378 1393 292
132 1393 49
167 1393 20
1386 1393 24
1043 1393 12
853 1393 12
1040 1393 12
1134 1393 48
1135 1393 24
1037 1393 12
1080 1393 20
858 1393 12
1391 1393 528
290 1393 48
1392 1393 62
1393 1400 72
1393 1394 294
803 1403 118
803 804 36
803 805 36
803 806 176
803 807 498
803 808 36
270 803 72
273 803 108
803 811 272
803 1435 248
275 803 36
278 803 36
803 1415 118
803 1004 118
