"Source" "Target" "Weight"
1 239 821
239 257 982
1 257 326
247 257 996
1 247 262
239 247 622
239 250 29
1 250 37
250 257 58
247 250 29
40 47 312
1 47 153
47 221 18
47 101 117
47 76 18
47 232 58
27 47 54
47 213 52
47 210 54
1 40 255
40 221 42
40 101 222
40 76 51
40 232 82
27 40 78
40 213 76
40 210 78
1 221 68
1 101 432
1 76 180
1 232 107
1 27 113
1 213 106
1 210 113
101 221 823
76 221 229
221 232 197
27 221 100
213 221 100
210 221 106
76 101 593
101 232 397
27 101 232
101 213 210
101 210 231
76 232 479
27 76 207
76 213 168
76 210 263
27 232 241
213 232 222
210 232 328
27 213 573
27 210 487
210 213 469
101 257 465
76 257 32
232 257 103
40 186 82
1 186 89
186 221 125
101 186 394
186 232 764
27 186 108
186 213 107
186 210 200
1 220 35
1 218 41
101 220 891
101 218 47
220 221 645
218 221 52
218 220 75
220 257 4
221 257 26
40 46 163
46 182 110
1 46 117
46 101 120
46 196 31
46 76 59
46 82 31
46 126 24
46 128 24
30 46 48
46 264 48
46 262 48
46 268 48
40 182 168
40 196 33
40 82 31
40 126 38
40 128 26
30 40 48
40 264 48
40 262 55
40 268 62
1 182 182
101 182 147
182 196 35
76 182 73
82 182 31
126 182 38
128 182 26
30 182 24
182 264 24
182 262 31
182 268 38
1 196 94
1 82 71
1 126 98
1 128 26
1 30 48
1 264 48
1 262 55
1 268 62
101 196 457
82 101 107
101 126 277
101 128 89
30 101 167
101 264 139
101 262 191
101 268 130
76 196 265
82 196 71
126 196 114
128 196 26
30 196 71
196 264 71
196 262 85
196 268 38
76 82 343
76 126 273
76 128 34
30 76 153
76 264 96
76 262 165
76 268 109
82 126 64
82 128 24
30 82 24
82 264 24
82 262 24
82 268 24
126 128 109
30 126 108
126 264 79
126 262 146
126 268 52
30 128 46
128 264 46
128 262 46
128 268 32
30 264 253
30 262 281
30 268 102
262 264 285
264 268 111
262 268 1314
155 158 19
158 177 21
158 238 19
158 237 19
3 158 19
1 158 19
155 177 26
155 238 26
155 237 26
3 155 19
1 155 26
177 238 28
177 237 30
3 177 21
1 177 28
237 238 192
3 238 142
1 238 26
3 237 348
1 237 54
1 3 39
227 239 1923
1 227 180
227 247 211
227 257 215
227 253 232
227 259 254
227 258 211
239 253 490
239 259 522
239 258 454
1 253 249
1 259 266
1 258 205
247 253 501
247 259 501
247 258 511
253 257 579
257 259 591
257 258 579
253 259 783
253 258 591
258 259 606
249 258 275
8 258 211
249 259 338
8 259 211
249 253 324
8 253 211
249 257 378
8 257 187
247 249 297
8 247 187
1 249 66
8 249 74
239 249 420
227 249 251
1 8 263
8 239 474
8 227 135
77 81 86
76 81 109
81 189 55
81 193 55
81 101 55
81 97 28
1 81 28
81 183 28
81 182 28
46 81 28
76 77 412
77 189 46
77 193 46
77 101 46
77 97 28
1 77 28
77 183 28
77 182 28
46 77 28
76 189 230
76 193 242
76 97 61
76 183 47
189 193 220
101 189 241
97 189 28
1 189 69
183 189 47
182 189 38
46 189 28
101 193 574
97 193 28
1 193 127
183 193 47
182 193 58
46 193 52
97 101 607
101 183 72
1 97 151
97 183 28
97 182 57
46 97 46
1 183 94
182 183 190
46 183 40
89 96 576
95 96 368
93 96 22
96 237 22
3 96 14
1 96 22
89 95 283
89 93 22
89 237 22
3 89 14
1 89 22
93 95 22
95 237 22
3 95 14
1 95 22
93 237 68
3 93 14
1 93 22
4 183 64
183 239 128
1 4 75
4 239 77
45 47 299
47 97 94
47 191 58
38 47 58
36 47 58
47 186 58
47 233 58
40 45 297
1 45 127
45 97 94
45 101 94
45 191 58
38 45 58
36 45 58
45 186 58
45 232 40
45 233 58
40 97 94
40 191 58
38 40 58
36 40 58
40 233 58
1 191 58
1 38 58
1 36 58
1 233 58
97 191 58
38 97 185
36 97 185
97 186 185
97 232 145
97 233 185
101 191 83
38 101 265
36 101 275
101 233 334
38 191 83
36 191 83
186 191 83
191 232 58
191 233 83
36 38 265
38 186 267
38 232 192
38 233 276
36 186 893
36 232 475
36 233 588
186 233 762
232 233 890
1 184 10
184 247 10
184 257 10
184 258 10
42 43 78
39 42 77
42 182 77
42 183 67
4 42 20
1 42 26
42 70 26
42 101 26
42 139 26
42 174 26
42 140 26
42 144 26
42 111 26
39 43 114
43 182 112
43 183 93
4 43 20
1 43 26
43 70 27
43 101 27
43 139 26
43 174 26
43 140 26
43 144 26
43 111 26
39 182 124
39 183 103
4 39 20
1 39 26
39 70 26
39 101 26
39 139 26
39 174 26
39 140 26
39 144 26
39 111 26
4 182 54
70 182 60
139 182 57
174 182 26
140 182 26
144 182 26
111 182 26
70 183 25
139 183 24
174 183 24
140 183 24
144 183 24
111 183 24
4 70 20
4 101 49
4 139 20
4 174 20
4 140 20
4 144 20
4 111 20
1 70 81
1 139 67
1 174 26
1 140 26
1 144 26
1 111 26
70 101 147
70 139 133
70 174 26
70 140 26
70 144 26
70 111 26
101 139 272
101 174 26
101 140 26
101 144 26
101 111 32
139 174 26
139 140 26
139 144 26
111 139 32
140 174 52
144 174 43
111 174 26
140 144 45
111 140 40
111 144 26
46 72 16
46 185 16
25 46 16
27 46 16
46 213 16
46 212 16
46 210 16
1 72 72
1 185 50
1 25 21
1 212 16
72 101 156
72 185 72
25 72 79
27 72 95
72 213 83
72 212 16
72 210 95
101 185 172
25 101 79
101 212 16
25 185 97
27 185 194
185 213 200
185 212 16
185 210 147
25 27 101
25 213 116
25 212 16
25 210 281
27 212 24
212 213 34
210 212 34
70 72 442
28 46 150
28 182 63
1 28 31
28 97 29
28 101 31
28 139 31
28 136 18
28 176 18
46 139 18
46 136 18
