"id" "Name" "Lon" "Lat"
1 "campinagrande,pb" -35.881 -7.231
2 "queimadas,pb" -35.898 -7.358
3 "taquaritingadonorte,pe" -36.044 -7.903
4 "surubim,pe" -35.756 -7.832
5 "saojosedoegito,pe" -37.274 -7.479
6 "juazeirinho,pb" -36.578 -7.068
7 "juncodoserido,pb" -36.713 -6.997
8 "santaluzia,pb" -36.919 -6.872
9 "patos,pb" -37.28 -7.024
10 "desterro,pb" -37.094 -7.291
11 "santanadoaraguaia,pa" -50.625 -9.505
12 "confresa,mt" -51.569 -10.644
13 "caseara,to" -49.956 -9.278
14 "divinopolisdotocantins,to" -49.214 -9.8
15 "paraisodotocantins,to" -48.867 -10.176
16 "neropolis,go" -49.219 -16.406
17 "goiania,go" -49.254 -16.679
18 "saojosedoxingu,mt" -52.744 -10.804
19 "trindade,go" -49.489 -16.649
20 "palmas,to" -48.333 -10.167
21 "portoalegredonorte,mt" -51.633 -10.878
22 "araguaina,to" -48.207 -7.191
23 "conceicaodoaraguaia,pa" -49.265 -8.258
24 "colinasdotocantins,to" -48.475 -8.059
25 "novaolinda,to" -48.423 -7.632
26 "redencao,pa" -50.031 -8.029
27 "carlopolis,pr" -49.721 -23.425
28 "piraju,sp" -49.384 -23.194
29 "fartura,sp" -49.51 -23.388
30 "camposdosgoytacazes,rj" -41.324 -21.754
31 "governadorvaladares,mg" -41.949 -18.851
32 "caratinga,mg" -42.139 -19.79
33 "itaperuna,rj" -41.888 -21.205
34 "pirapetinga,mg" -42.346 -21.656
35 "riodejaneiro,rj" -43.208 -22.903
36 "alemparaiba,mg" -42.704 -21.888
37 "niteroi,rj" -43.104 -22.883
38 "mage,rj" -43.041 -22.653
39 "miracema,rj" -42.197 -21.412
40 "itaocara,rj" -42.082 -21.679
41 "porciuncula,rj" -42.041 -20.963
42 "natividade,rj" -41.973 -21.042
43 "patrociniodomuriae,mg" -42.215 -21.153
44 "eugenopolis,mg" -42.187 -21.099
45 "leopoldina,mg" -42.643 -21.532
46 "muriae,mg" -42.366 -21.131
47 "cardosomoreira,rj" -41.616 -21.488
48 "italva,rj" -41.691 -21.421
49 "bomjesusdonorte,es" -41.672 -21.114
