"Source" "Target" "Weight"
1 4 1550
1 2 1550
1 3 1550
1 1569 1550
2 3 1550
2 1569 1550
2 4 1550
3 1569 1550
3 4 1550
4 1569 1550
1 5 3100
5 1570 1550
5 6 1550
5 7 1550
5 8 1550
5 9 1550
5 296 1550
5 1571 1550
5 10 1550
11 19 4960
11 18 4960
11 12 16152
11 1572 16152
11 13 16276
11 14 12276
11 15 16276
11 16 4960
11 17 6220
13 18 4960
14 18 4960
15 18 4960
16 18 4960
17 18 4960
18 19 4960
12 13 13672
12 14 9672
12 15 13672
12 16 4960
12 17 4960
12 19 4960
13 1572 13672
14 1572 9672
15 1572 13672
16 1572 4960
17 1572 13144
19 1572 4960
13 16 4960
13 17 4960
13 19 4960
14 16 4960
14 17 4960
14 19 4960
15 16 4960
15 17 30070
15 19 4960
20 21 8712
11 21 11192
13 21 8712
15 21 8712
12 20 8712
20 1572 8712
11 20 8712
21 22 2480
21 26 2480
21 23 2480
21 24 2480
21 25 2480
12 26 2480
12 23 2480
12 24 2480
12 25 2480
12 22 2480
26 1572 2480
23 1572 2480
24 1572 2480
25 1572 2480
22 1572 2480
11 24 2480
11 25 2480
11 22 2480
24 26 10850
25 26 8060
22 26 16430
23 24 16430
23 25 2480
22 23 16430
27 28 2852
28 1573 2852
28 29 2852
29 1573 2852
27 1573 2852
27 29 2852
30 31 6808
31 33 6808
32 33 6808
30 32 6808
30 286 6808
33 35 38420
34 35 34924
35 51 34924
36 37 11064
37 1574 11064
34 37 11064
36 38 11064
38 1574 11064
34 38 11064
33 36 38420
33 34 32072
35 39 23446
35 1575 2898
35 40 2898
35 36 64768
36 1575 2898
34 1575 2898
35 1576 10640
35 41 10640
35 42 10640
35 43 10640
35 44 10640
41 45 10640
41 46 18266
35 1577 13430
35 47 6300
35 48 6300
35 49 13430
37 1577 6300
30 1577 6300
37 65 53363
37 1356 1702
50 65 4906
33 45 6348
33 46 27292
51 1577 3864
35 52 414
46 1577 414
33 1577 414
53 65 6511
35 54 2852
55 56 2852
54 55 2852
56 538 2852
54 538 2852
35 65 301845
35 57 17758
35 1356 17758
35 1357 17758
35 1019 17758
58 65 37276
59 65 21232
60 65 21232
61 65 54704
62 65 66262
63 65 64008
64 65 83116
65 1578 49600
65 1579 23144
65 66 54872
65 67 23144
65 68 80080
65 69 23144
65 70 23144
66 68 35288
66 1579 23144
68 70 23144
68 1579 23144
65 71 16947
65 72 5544
65 73 5544
65 74 5544
65 1580 5544
65 75 5544
65 76 5544
71 77 5544
77 1580 5544
75 77 5544
76 77 5544
71 76 5544
72 76 5544
73 76 5544
74 76 5544
76 1580 5544
75 76 5544
71 75 5544
72 75 5544
73 75 5544
74 75 5544
75 1580 7832
71 1580 5544
72 1580 5544
73 1580 5544
74 1580 5544
71 74 14100
72 74 14100
73 74 14100
71 73 14100
72 73 98140
71 72 14100
75 79 2288
75 78 2288
78 1580 2288
78 79 2288
79 1580 4620
75 1581 8184
75 80 11000
80 1581 5456
75 81 5544
80 81 5544
68 75 12144
67 68 12144
68 82 12144
68 83 12144
66 67 12144
67 82 12144
67 83 12144
67 75 12144
66 82 23808
66 83 23808
66 1582 55536
66 75 23808
82 83 26304
82 1582 58032
75 82 26688
75 84 26688
75 83 68356
83 1582 73396
65 82 32112
84 1582 31728
65 84 32112
65 83 35088
76 82 384
76 84 384
76 83 384
61 85 7360
62 85 13064
63 85 7360
64 85 13064
85 1578 7360
62 1019 33158
63 1019 33158
64 1019 33158
61 1019 33158
62 1357 33158
63 1357 33158
64 1357 33158
61 1357 33158
62 1356 33158
63 1356 33158
64 1356 33158
61 1356 33158
62 304 33158
63 304 33158
64 304 33158
61 304 33158
62 86 187858
65 87 10440
63 86 90306
64 86 75448
86 89 15410
86 88 10902
86 91 10902
86 1583 17066
86 93 17066
86 110 21574
86 94 23552
86 95 23552
86 97 47770
89 90 10902
90 91 10902
90 1583 10902
90 93 10902
90 110 11226
90 94 11226
