"Source" "Target"
1 239
239 257
1 257
247 257
1 247
239 247
239 250
1 250
250 257
247 250
40 47
1 47
47 221
47 101
47 76
47 232
27 47
47 213
47 210
1 40
40 221
40 101
40 76
40 232
27 40
40 213
40 210
1 221
1 101
1 76
1 232
1 27
1 213
1 210
101 221
76 221
221 232
27 221
213 221
210 221
76 101
101 232
27 101
101 213
101 210
76 232
27 76
76 213
76 210
27 232
213 232
210 232
27 213
27 210
210 213
101 257
76 257
232 257
40 186
1 186
186 221
101 186
186 232
27 186
186 213
186 210
1 220
1 218
101 220
101 218
220 221
218 221
218 220
220 257
221 257
40 46
46 182
1 46
46 101
46 196
46 76
46 82
46 126
46 128
30 46
46 264
46 262
46 268
40 182
40 196
40 82
40 126
40 128
30 40
40 264
40 262
40 268
1 182
101 182
182 196
76 182
82 182
126 182
128 182
30 182
182 264
182 262
182 268
1 196
1 82
1 126
1 128
1 30
1 264
1 262
1 268
101 196
82 101
101 126
101 128
30 101
101 264
101 262
101 268
76 196
82 196
126 196
128 196
30 196
196 264
196 262
196 268
76 82
76 126
76 128
30 76
76 264
76 262
76 268
82 126
82 128
30 82
82 264
82 262
82 268
126 128
30 126
126 264
126 262
126 268
30 128
128 264
128 262
128 268
30 264
30 262
30 268
262 264
264 268
262 268
155 158
158 177
158 238
158 237
3 158
1 158
155 177
155 238
155 237
3 155
1 155
177 238
177 237
3 177
1 177
237 238
3 238
1 238
3 237
1 237
1 3
227 239
1 227
227 247
227 257
227 253
227 259
227 258
239 253
239 259
239 258
1 253
1 259
1 258
247 253
247 259
247 258
253 257
257 259
257 258
253 259
253 258
258 259
249 258
8 258
249 259
8 259
249 253
8 253
249 257
8 257
247 249
8 247
1 249
8 249
239 249
227 249
1 8
8 239
8 227
77 81
76 81
81 189
81 193
81 101
81 97
1 81
81 183
81 182
46 81
76 77
77 189
77 193
77 101
77 97
1 77
77 183
77 182
46 77
76 189
76 193
76 97
76 183
189 193
101 189
97 189
1 189
183 189
182 189
46 189
101 193
97 193
1 193
183 193
182 193
46 193
97 101
101 183
1 97
97 183
97 182
46 97
1 183
182 183
46 183
89 96
95 96
93 96
96 237
3 96
1 96
89 95
89 93
89 237
3 89
1 89
93 95
95 237
3 95
1 95
93 237
3 93
1 93
4 183
183 239
1 4
4 239
45 47
47 97
47 191
38 47
36 47
47 186
47 233
40 45
1 45
45 97
45 101
45 191
38 45
36 45
45 186
45 232
45 233
40 97
40 191
38 40
36 40
40 233
1 191
1 38
1 36
1 233
97 191
38 97
36 97
97 186
97 232
97 233
101 191
38 101
36 101
101 233
38 191
36 191
186 191
191 232
191 233
36 38
38 186
38 232
38 233
36 186
36 232
36 233
186 233
232 233
1 184
184 247
184 257
184 258
42 43
39 42
42 182
42 183
4 42
1 42
42 70
42 101
42 139
42 174
42 140
42 144
42 111
39 43
43 182
43 183
4 43
1 43
43 70
43 101
43 139
43 174
43 140
43 144
43 111
39 182
39 183
4 39
1 39
39 70
39 101
39 139
39 174
39 140
39 144
39 111
4 182
70 182
139 182
174 182
140 182
144 182
111 182
70 183
139 183
174 183
140 183
144 183
111 183
4 70
4 101
4 139
4 174
4 140
4 144
4 111
1 70
1 139
1 174
1 140
1 144
1 111
70 101
70 139
70 174
70 140
70 144
70 111
101 139
101 174
101 140
101 144
101 111
139 174
139 140
139 144
111 139
140 174
144 174
111 174
140 144
111 140
111 144
46 72
46 185
25 46
27 46
46 213
46 212
46 210
1 72
1 185
1 25
1 212
72 101
72 185
25 72
27 72
72 213
72 212
72 210
101 185
25 101
101 212
25 185
27 185
185 213
185 212
185 210
25 27
25 213
25 212
25 210
27 212
212 213
210 212
70 72
28 46
28 182
1 28
28 97
28 101
28 139
28 136
28 176
46 139
46 136
46 176
136 182
176 182
1 136
1 176
97 139
97 136
97 176
101 136
101 176
136 139
139 176
136 176
47 185
47 168
45 185
45 168
27 45
45 213
45 210
40 185
40 168
1 168
97 185
97 168
27 97
97 213
97 210
101 168
168 185
27 168
168 213
168 210
32 46
40 193
32 40
1 32
32 101
32 193
30 193
193 264
193 262
193 268
30 32
32 264
32 262
32 268
49 54
48 54
50 54
51 54
54 180
54 181
1 54
54 193
54 196
54 76
54 83
54 82
54 85
54 126
54 131
48 49
49 50
49 51
49 180
49 181
1 49
49 193
49 196
49 76
49 83
49 82
49 85
49 126
49 131
48 50
48 51
48 180
48 181
1 48
48 193
48 196
48 76
48 83
48 82
48 85
48 126
48 131
50 51
50 180
50 181
1 50
50 193
50 196
50 76
50 83
50 82
50 85
50 126
50 131
51 180
51 181
1 51
51 193
51 196
51 76
51 83
51 82
51 85
51 126
51 131
180 181
1 180
180 193
180 196
76 180
83 180
82 180
85 180
126 180
131 180
1 181
181 193
181 196
76 181
83 181
82 181
85 181
126 181
131 181
1 83
1 85
1 131
193 196
83 193
82 193
85 193
126 193
131 193
83 196
85 196
131 196
76 83
76 85
76 131
82 83
83 85
83 126
83 131
82 85
82 131
85 126
85 131
126 131
101 131
85 101
83 101
101 181
101 180
51 101
50 101
48 101
49 101
54 101
47 182
47 72
47 70
47 98
47 219
47 217
47 220
47 218
45 182
45 72
45 70
45 98
45 219
45 217
45 220
45 218
40 72
40 70
40 98
40 219
40 217
40 220
40 218
72 182
98 182
182 219
182 217
182 220
182 218
1 98
1 219
1 217
72 98
72 219
72 217
72 220
72 218
70 98
70 219
70 217
70 220
70 218
98 219
98 217
98 220
98 218
217 219
219 220
218 219
217 220
217 218
28 41
28 47
28 45
28 40
4 28
3 28
28 237
8 28
28 239
41 46
46 47
45 46
4 46
3 46
46 237
8 46
46 239
41 47
41 45
40 41
4 41
3 41
41 237
8 41
41 239
4 47
3 47
47 237
8 47
47 239
4 45
3 45
45 237
8 45
45 239
4 40
3 40
40 237
8 40
40 239
3 4
4 237
4 8
3 8
3 239
8 237
237 239
182 239
8 182
182 237
3 182
41 182
238 239
8 238
3 181
8 181
181 239
28 183
40 183
66 69
61 69
67 69
69 105
12 69
15 69
14 69
5 69
11 69
69 158
69 156
69 220
69 221
69 101
69 192
69 196
23 69
69 146
61 66
66 67
66 105
12 66
15 66
14 66
5 66
11 66
66 158
66 156
66 220
66 221
66 101
66 192
66 196
23 66
