"Id" "Name" "Lon" "Lat"
1 "acoruna|acoruna" -8.395501936 43.37126587
2 "acoruna|aspontesdegarciarodriguez" -7.852924319 43.45091414
3 "acoruna|betanzos" -8.210831839 43.2791139
4 "acoruna|ferrol" -8.233353008 43.48451427
5 "acoruna|santiagodecompostela" -8.546107172 42.87999954
6 "alava|agurain/salvatierra" -2.38874391 42.85002265
7 "alava|labastida/bastida" -2.79288705 42.59076105
8 "alava|lantaron" -2.96649719 42.71657557
9 "alava|vitoria-gasteiz" -2.67275685 42.85058789
10 "alava|zambrana" -2.87806502 42.66112968
11 "albacete|albacete" -1.85574745 38.99588053
12 "albacete|alborea" -1.39670449 39.27835442
13 "albacete|alcadozo" -1.9802275 38.6489758
14 "albacete|alcaraz" -2.49034957 38.66425104
15 "albacete|almansa" -1.09414681 38.86968811
16 "albacete|balazote" -2.15096732 38.88396156
17 "albacete|balsadeves" -1.19650012 39.26461253
18 "albacete|barrax" -2.20045637 39.0456106
19 "albacete|bonete" -1.34830324 38.86950589
20 "albacete|casas-ibanez" -1.47129143 39.28701686
21 "albacete|caudete" -0.9886912 38.70573009
22 "albacete|chinchillademonte-aragon" -1.72602643 38.9210968
23 "albacete|corral-rubio" -1.4608525 38.83500072
24 "albacete|elbonillo" -2.54023691 38.95012362
25 "albacete|fuensanta" -2.06725219 39.24466001
26 "albacete|fuente-alamo" -1.43170411 38.69314229
27 "albacete|fuentealbilla" -1.54879364 39.26773579
28 "albacete|golosalvo" -1.63626863 39.23996013
29 "albacete|hellin" -1.70344921 38.51218953
30 "albacete|hoya-gonzalo" -1.55687053 38.95787352
31 "albacete|lagineta" -1.99784496 39.11387916
32 "albacete|laherrera" -2.12637236 38.9621774
33 "albacete|laroda" -2.15924796 39.20706504
34 "albacete|mahora" -1.72481837 39.21303088
35 "albacete|minaya" -2.31961973 39.27118701
36 "albacete|montealegredelcastillo" -1.32487672 38.78717469
37 "albacete|munera" -2.4830388 39.03954575
38 "albacete|ontur" -1.49888166 38.61472661
39 "albacete|ossademontiel" -2.74272664 38.96201035
40 "albacete|penasdesanpedro" -2.00212787 38.72688881
41 "albacete|petrola" -1.55549981 38.82629814
42 "albacete|povedilla" -2.60393627 38.70163971
43 "albacete|pozocanada" -1.73622317 38.801361
44 "albacete|pozohondo" -1.91133356 38.721122
45 "albacete|robledo" -2.44882682 38.75778452
46 "albacete|tarazonadelamancha" -1.91280979 39.26539647
47 "albacete|tobarra" -1.69282296 38.5922733
48 "albacete|villarrobledo" -2.60714311 39.26755792
49 "albacete|villatoya" -1.33858599 39.33385264
50 "alicante|albatera" -0.86792141 38.17894636
51 "alicante|alcalali" -0.04160798 38.74965349
52 "alicante|alcoy/alcoi" -0.47318376 38.69836894
53 "alicante|alicante/alacant" -0.4831832 38.34548705
54 "alicante|almoradi" -0.79201713 38.10977991
55 "alicante|altea" -0.05144236 38.59892497
56 "alicante|aspe" -0.76849107 38.34577266
57 "alicante|benidorm" -0.1306853 38.53427136
58 "alicante|benissa" 0.05043358 38.7151969
59 "alicante|bigastro" -0.89528476 38.06301558
60 "alicante|callosadesegura" -0.87933854 38.12258136
61 "alicante|calp" 0.04453809 38.64526261
62 "alicante|canada" -0.80952172 38.67518917
63 "alicante|catral" -0.80464175 38.15964959
64 "alicante|cocentaina" -0.44022067 38.74541202
65 "alicante|cox" -0.88437585 38.13972138
66 "alicante|crevillent" -0.80855322 38.24881414
67 "alicante|denia" 0.10661934 38.84122705
68 "alicante|dolores" -0.76969869 38.13897736
69 "alicante|elcampello" -0.40086509 38.42754724
70 "alicante|elche/elx" -0.69775581 38.26741662
71 "alicante|elda" -0.79611046 38.47878894
72 "alicante|elverger" 0.01012098 38.84290338
73 "alicante|gatadegorgos" 0.08427495 38.7732101
74 "alicante|granjaderocamora" -0.89001674 38.15262779
75 "alicante|guardamardelsegura" -0.65477035 38.08988071
76 "alicante|javea/xabia" 0.16340067 38.78925837
77 "alicante|l'alfasdelpi" -0.1026002 38.58009496
78 "alicante|monfortedelcid" -0.72989187 38.37928097
79 "alicante|novelda" -0.76539782 38.38606382
80 "alicante|ondara" 0.01764367 38.82692459
81 "alicante|orihuela" -0.94664572 38.08574117
82 "alicante|pedreguer" 0.03432468 38.7935383
83 "alicante|petrer" -0.76953712 38.48480043
84 "alicante|pilardelahoradada" -0.79242783 37.86372554
85 "alicante|redovan" -0.90524865 38.1140353
86 "alicante|rojales" -0.7231866 38.08892037
87 "alicante|salinas" -0.91278122 38.52006995
88 "alicante|sanmigueldesalinas" -0.78930554 37.97713811
89 "alicante|santapola" -0.55528061 38.1931155
90 "alicante|santjoand'alacant" -0.43660694 38.40151192
91 "alicante|sanvicentedelraspeig/santvicentdelraspeig" -0.52499072 38.39613348
92 "alicante|sax" -0.81692328 38.53849557
93 "alicante|teulada" 0.10231946 38.72911733
94 "alicante|torrevieja" -0.68302608 37.97775873
95 "alicante|villajoyosa/lavilajoiosa" -0.2319288 38.50545611
96 "alicante|villena" -0.86138343 38.62963811
97 "almeria|abla" -2.77953953 37.1412099
98 "almeria|adra" -3.02330257 36.74868325
99 "almeria|almeria" -2.46413188 36.83892362
100 "almeria|balanegra" -2.90884074 36.74594326
101 "almeria|benahadux" -2.45067345 36.92496886
102 "almeria|chirivel" -2.26658541 37.59512473
103 "almeria|cuevasdelalmanzora" -1.87991806 37.2967313
104 "almeria|elejido" -2.81490838 36.77576137
105 "almeria|finana" -2.84178852 37.17135438
106 "almeria|garrucha" -1.82347743 37.1797194
107 "almeria|gergal" -2.53905331 37.12083904
108 "almeria|huercal-overa" -1.943031 37.38937619
109 "almeria|lastresvillas" -2.71216116 37.13516947
110 "almeria|losgallardos" -1.9417002 37.17027055
111 "almeria|maria" -2.16479793 37.7115544
112 "almeria|mojacar" -1.85016798 37.14008707
113 "almeria|nijar" -2.20611069 36.96580749
114 "almeria|pulpi" -1.745159 37.41211031
115 "almeria|rioja" -2.46389912 36.94267969
116 "almeria|roquetasdemar" -2.6150576 36.76467854
117 "almeria|sorbas" -2.124113 37.09821538
118 "almeria|tabernas" -2.39150625 37.04984427
119 "almeria|turre" -1.89426392 37.15286446
120 "almeria|velez-blanco" -2.09608111 37.69085853
121 "almeria|velez-rubio" -2.07415558 37.64799415
122 "almeria|vera" -1.86877507 37.24675325
123 "asturias|aviles" -5.92478951 43.55857729
124 "asturias|castrillon" -5.97389938 43.55998379
125 "asturias|cudillero" -6.14543206 43.5629171
126 "asturias|gijon" -5.65949323 43.53920222
127 "asturias|grado" -6.06990452 43.38929203
128 "asturias|lena" -5.82960591 43.15927913
129 "asturias|llanes" -4.75450323 43.42236986
130 "asturias|mieres" -5.7779978 43.25363001
131 "asturias|navia" -6.72264777 43.53906309
132 "asturias|oviedo" -5.84372206 43.36232165
133 "asturias|parres" -5.19086415 43.38601098
134 "asturias|pilona" -5.36471715 43.34785392
135 "asturias|ribadesella" -5.05751881 43.46198935
136 "asturias|siero" -5.66321486 43.39474647
137 "asturias|valdes" -6.53512178 43.54452761
138 "avila|adanero" -4.60377542 40.94423557
139 "avila|aldeaseca" -4.81751947 41.04920154
140 "avila|arevalo" -4.71892472 41.06550483
141 "avila|aveinte" -4.83760071 40.78314581
142 "avila|avila" -4.69771277 40.65586958
143 "avila|barroman" -4.93135736 41.06568002
144 "avila|berrocalejodearagona" -4.5922361 40.69953051
145 "avila|blascosancho" -4.63734676 40.87824933
146 "avila|bularros" -4.86504123 40.72400997
147 "avila|casasdelpuerto" -5.19835696 40.52856873
148 "avila|crespos" -4.96994627 40.87320139
149 "avila|elbarcodeavila" -5.52704093 40.35576349
150 "avila|elbarraco" -4.64114216 40.47607893
151 "avila|eloso" -4.77127014 40.84284248
152 "avila|espinosadeloscaballeros" -4.65097435 41.00911924
153 "avila|gimialcon" -5.12294363 40.87731373
154 "avila|gutierre-munoz" -4.63649134 40.98269875
155 "avila|hernansancho" -4.73033726 40.85748892
156 "avila|herradondepinares" -4.56022994 40.56531144
157 "avila|lacarrera" -5.55514674 40.34733577
158 "avila|latorre" -4.96478322 40.58857728
159 "avila|madrigaldelasaltastorres" -4.9983297 41.08975855
160 "avila|maello" -4.5098191 40.8110326
161 "avila|medianadevoltoya" -4.56260008 40.70062006
162 "avila|mingorria" -4.6651746 40.75102765
163 "avila|munogrande" -4.92142682 40.82157685
164 "avila|narrosdelcastillo" -5.0596323 40.85896048
165 "avila|ojos-albos" -4.51642844 40.70646053
166 "avila|orbita" -4.64724662 40.99838127
167 "avila|pajaresdeadaja" -4.64035589 40.92369651
168 "avila|puertocastilla" -5.62943843 40.28982213
169 "avila|rasueros" -5.0749183 41.02309217
170 "avila|riocabado" -4.80605215 40.83337644
171 "avila|riofrio" -4.7779986 40.54728355
172 "avila|salvadios" -5.09616762 40.87683079
173 "avila|sanchidrian" -4.58156208 40.89198117
174 "avila|sanjuandelaencinilla" -4.83969097 40.82881844
175 "avila|sanpedrodelarroyo" -4.86761787 40.80511148
176 "avila|santamariadelcubillo" -4.47277814 40.74221173
177 "avila|santodomingodelasposadas" -4.63302434 40.81240832
178 "avila|solanadeavila" -5.61476569 40.3147188
179 "avila|tolbanos" -4.58143919 40.75147571
180 "avila|villanuevadelaceral" -4.85302538 41.0416012
181 "avila|villatoro" -5.11094168 40.55534171
182 "badajoz|acedera" -5.57151763 39.07492505
183 "badajoz|ahillones" -5.86674807 38.26032661
184 "badajoz|alconchel" -7.0713971 38.51593336
185 "badajoz|aljucen" -6.33122406 39.04476158
186 "badajoz|almendral" -6.82136683 38.61467816
187 "badajoz|almendralejo" -6.40778009 38.68445279
188 "badajoz|azuaga" -5.67527592 38.2578584
189 "badajoz|badajoz" -6.97099704 38.87874339
190 "badajoz|barcarrota" -6.84900488 38.51443528
191 "badajoz|benquerenciadelaserena" -5.49447757 38.70042909
192 "badajoz|berlanga" -5.82908706 38.28305387
193 "badajoz|bodonaldelasierra" -6.55850635 38.14723868
194 "badajoz|cabezadelbuey" -5.21891444 38.7214897
195 "badajoz|calamonte" -6.38613315 38.88893824
196 "badajoz|calzadilladelosbarros" -6.31714218 38.30038359
197 "badajoz|casasdedonpedro" -5.33066018 39.10397259
198 "badajoz|castilblanco" -5.08950312 39.28494719
199 "badajoz|castuera" -5.54521191 38.72139142
200 "badajoz|donbenito" -5.86126299 38.95410117
201 "badajoz|elcarrascalejo" -6.33741854 39.02256965
202 "badajoz|esparragalejo" -6.43588312 38.94282883
203 "badajoz|fregenaldelasierra" -6.65364856 38.16988677
204 "badajoz|fuentedecantos" -6.30921689 38.24660131
205 "badajoz|granjadetorrehermosa" -5.5976388 38.30878083
206 "badajoz|guarena" -6.0999444 38.8593997
207 "badajoz|higueralareal" -6.68914319 38.14215324
208 "badajoz|jerezdeloscaballeros" -6.77141685 38.32205063
209 "badajoz|laalbuera" -6.8226616 38.71641036
210 "badajoz|lacoronada" -5.67088279 38.92053331
211 "badajoz|lagarrovilla" -6.47512317 38.92093607
212 "badajoz|llerena" -6.01526269 38.23750303
213 "badajoz|lobon" -6.62348869 38.85068645
214 "badajoz|lossantosdemaimona" -6.38368803 38.44923755
215 "badajoz|medinadelastorres" -6.4131934 38.34130493
216 "badajoz|mengabril" -5.9329165 38.93601544
217 "badajoz|merida" -6.34417211 38.91738788
218 "badajoz|monesterio" -6.27266541 38.08759297
219 "badajoz|monterrubiodelaserena" -5.44452908 38.58911098
220 "badajoz|montijo" -6.6175854 38.90978737
221 "badajoz|navalvillardepela" -5.46977095 39.09085587
222 "badajoz|olivadelafrontera" -6.91844655 38.27789887
223 "badajoz|olivenza" -7.09959828 38.68566049
224 "badajoz|orellanadelasierra" -5.49739764 39.03106626
225 "badajoz|orellanalavieja" -5.53341769 39.00463934
226 "badajoz|puebladelacalzada" -6.62503114 38.89433422
227 "badajoz|puebladesanchoperez" -6.40041794 38.39522626
228 "badajoz|sanpedrodemerida" -6.18692716 38.94987235
229 "badajoz|seguradeleon" -6.53106787 38.12043461
230 "badajoz|talaveralareal" -6.76993127 38.87844356
231 "badajoz|torremayor" -6.53633859 38.90067606
232 "badajoz|torremejia" -6.37812152 38.78950074
233 "badajoz|trujillanos" -6.25988129 38.95067262
234 "badajoz|usagre" -6.16561136 38.35619908
235 "badajoz|valdecaballeros" -5.19011761 39.2438431
236 "badajoz|valenciadelventoso" -6.47398252 38.26634201
237 "badajoz|valledematamoros" -6.80361045 38.37894799
238 "badajoz|valledesantaana" -6.78986116 38.36772345
239 "badajoz|valverdedemerida" -6.22022833 38.9113823
240 "badajoz|villafrancadelosbarros" -6.33990452 38.56115283
241 "badajoz|villagarciadelatorre" -6.07950624 38.2928097
242 "badajoz|villanuevadelaserena" -5.79980751 38.97390781
243 "badajoz|zafra" -6.4193056 38.42617898
244 "badajoz|zarza-capilla" -5.15511609 38.80686554
245 "barcelona|badalona" 2.24625368 41.45262481
246 "barcelona|barcelona" 2.17634927 41.38424664
247 "barcelona|l'hospitaletdellobregat" 2.10138287 41.35977051
248 "barcelona|manresa" 1.82721026 41.72199594
249 "barcelona|sabadell" 2.10778994 41.54695899
250 "barcelona|santacolomadegramenet" 2.2121554 41.45365731
251 "barcelona|terrassa" 2.01215141 41.56236346
252 "barcelona|vilafrancadelpenedes" 1.6977467 41.3472121
253 "bizkaia|amorebieta-etxano" -2.73512007 43.21819018
254 "bizkaia|balmaseda" -3.19266525 43.1962765
255 "bizkaia|barakaldo" -2.99732045 43.29567704
256 "bizkaia|bilbao" -2.92390606 43.25721957
257 "bizkaia|durango" -2.63090395 43.16798721
258 "bizkaia|ermua" -2.50233303 43.18608445
259 "bizkaia|guenes" -3.09591381 43.21290309
260 "bizkaia|portugalete" -3.02306964 43.31826743
261 "bizkaia|santurtzi" -3.03869859 43.32400824
262 "bizkaia|sestao" -3.0066296 43.31113782
263 "bizkaia|zalla" -3.12995548 43.2133741
264 "burgos|alcocerodemola" -3.35835902 42.47376788
265 "burgos|altable" -3.07810504 42.60308288
266 "burgos|arandadeduero" -3.68924298 41.67155079
267 "burgos|arcos" -3.75669789 42.2646946
268 "burgos|arlanzon" -3.45701844 42.3225661
269 "burgos|basconcillosdeltozo" -3.99093223 42.70284526
270 "burgos|belorado" -3.18970797 42.42058358
271 "burgos|berzosadebureba" -3.26634298 42.62700037
272 "burgos|briviesca" -3.32390441 42.54897956
273 "burgos|burgos" -3.70419805 42.34113004
274 "burgos|cardenajimeno" -3.61972293 42.33058451
275 "burgos|castildelgado" -3.08519519 42.4362431
276 "burgos|castildepeones" -3.38578729 42.48291012
277 "burgos|cubodebureba" -3.20759384 42.64033278
278 "burgos|espinosadelcamino" -3.27898856 42.40711808
279 "burgos|espinosadelosmonteros" -3.55285424 43.07635915
280 "burgos|estepar" -3.89751306 42.27628832
281 "burgos|fresnena" -3.13469236 42.41413139
282 "burgos|fresnillodelasduenas" -3.64448173 41.6474269
283 "burgos|fresnoderodilla" -3.48354488 42.4188226
284 "burgos|fuentebureba" -3.23447784 42.63379704
285 "burgos|fuentespina" -3.68370032 41.63134947
286 "burgos|grisalena" -3.26436445 42.59152225
287 "burgos|huermeces" -3.77197585 42.52261291
288 "burgos|ibeasdejuarros" -3.53657685 42.33032757
289 "burgos|ibrillos" -3.08339489 42.45403129
290 "burgos|lavidybarrios" -3.4879635 41.62868395
291 "burgos|lerma" -3.75931385 42.02736001
292 "burgos|losaltos" -3.63301961 42.80759204
293 "burgos|medinadepomar" -3.48750314 42.92852281
294 "burgos|melgardefernamental" -4.2435593 42.4054474
295 "burgos|merindaddecuesta-urria" -3.41859895 42.84189463
296 "burgos|merindaddemontija" -3.47355077 43.0672589
297 "burgos|merindadderioubierna" -3.67716199 42.43833193
298 "burgos|merindaddesotoscueva" -3.62680813 43.02825277
299 "burgos|merindaddevaldivielso" -3.54271564 42.83101838
300 "burgos|milagros" -3.69779163 41.57532265
301 "burgos|mirandadeebro" -2.95239566 42.68052075
302 "burgos|monasterioderodilla" -3.46985948 42.45805549
303 "burgos|orbanejariopico" -3.5852192 42.36115201
304 "burgos|pancorbo" -3.10985574 42.63502775
305 "burgos|pardilla" -3.71056916 41.55255601
306 "burgos|pradanosdebureba" -3.34771892 42.50322305
307 "burgos|quintanaortuno" -3.68529767 42.45522368
308 "burgos|quintanapalla" -3.53486269 42.40882342
309 "burgos|quintanavides" -3.42684601 42.48208933
310 "burgos|quintanillavivar" -3.69059682 42.41502564
311 "burgos|redecilladelcamino" -3.0651364 42.43828238
312 "burgos|roa" -3.92785528 41.69719694
313 "burgos|rubena" -3.57433131 42.3883872
314 "burgos|santamariadelinvierno" -3.43843869 42.44331995
315 "burgos|santamariarivarredonda" -3.18000885 42.6425946
316 "burgos|santaolalladebureba" -3.44110716 42.47708212
317 "burgos|tosantos" -3.24316598 42.41422404
318 "burgos|trespaderne" -3.39081209 42.80169381
319 "burgos|tubilladelagua" -3.80236539 42.70891242
320 "burgos|valledemanzanedo" -3.6909109 42.89911255
321 "burgos|valledemena" -3.28210215 43.10120829
322 "burgos|valledeoca" -3.31984862 42.43650656
323 "burgos|valledesedano" -3.74995215 42.71683185
324 "burgos|valledetobalina" -3.27153208 42.79190737
325 "burgos|valledevaldebezana" -3.78736247 42.97075766
326 "burgos|villadiego" -4.00988381 42.51581158
327 "burgos|villafrancamontesdeoca" -3.3092779 42.38835301
328 "burgos|villambistia" -3.26135824 42.40490793
329 "burgos|villanuevadeteba" -3.16416993 42.64982282
330 "burgos|villarcayodemerindaddecastillalavieja" -3.57245956 42.93848633
331 "burgos|villasandino" -4.10777427 42.37171632
332 "burgos|villaverde-mogina" -4.04901992 42.16152747
333 "burgos|villaverdedelmonte" -3.81295798 42.16073876
334 "burgos|villoruebo" -3.43834637 42.16728072
335 "burgos|viloriaderioja" -3.10098382 42.42564837
336 "burgos|zuneda" -3.22544673 42.60498766
337 "caceres|alcuescar" -6.22952976 39.18120757
338 "caceres|aldeadelcano" -6.31924726 39.28802899
339 "caceres|aldeanuevadelcamino" -5.92688369 40.26017589
340 "caceres|alia" -5.21711245 39.44932584
341 "caceres|almaraz" -5.67829933 39.81453225
342 "caceres|banosdemontemayor" -5.85726408 40.31782584
343 "caceres|cabezueladelvalle" -5.80658855 40.19403446
344 "caceres|caceres" -6.37121092 39.47316762
345 "caceres|canaveral" -6.39426506 39.78989562
346 "caceres|carrascalejo" -5.21795709 39.64538616
347 "caceres|casasdedonantonio" -6.29102988 39.23659178
348 "caceres|casasdelcastanar" -5.90429188 40.1078806
349 "caceres|casasdelmonte" -5.96052215 40.20223129
350 "caceres|casasdemiravete" -5.74343671 39.72613391
351 "caceres|eltorno" -5.94416309 40.13582314
352 "caceres|hervas" -5.85761997 40.27437444
353 "caceres|jaraicejo" -5.81315486 39.66703734
354 "caceres|jarilla" -6.00128739 40.17141182
355 "caceres|jerte" -5.7521115 40.22192454
356 "caceres|miajadas" -5.90828392 39.15267325
357 "caceres|navaconcejo" -5.83164628 40.17831826
358 "caceres|navalmoraldelamata" -5.54043075 39.89106221
359 "caceres|olivadeplasencia" -6.08604846 40.11356707
360 "caceres|peraledadelamata" -5.45981782 39.85269461
361 "caceres|plasencia" -6.09268229 40.02940535
362 "caceres|puertodesantacruz" -5.85896353 39.31647537
363 "caceres|tornavacas" -5.68847119 40.25437119
364 "caceres|trujillo" -5.88284261 39.46250751
365 "caceres|valdastillas" -5.87736472 40.13224293
366 "caceres|villamesias" -5.87301156 39.24596965
367 "caceres|villardeplasencia" -6.02737565 40.1378265
368 "cadiz|alcaladelosgazules" -5.72311956 36.46294815
369 "cadiz|alcaladelvalle" -5.17259873 36.90506622
370 "cadiz|algar" -5.65719916 36.65594556
371 "cadiz|algeciras" -5.44774178 36.13137811
372 "cadiz|algodonales" -5.40470441 36.88076763
373 "cadiz|arcosdelafrontera" -5.80640518 36.74821011
374 "cadiz|bornos" -5.74570162 36.81705325
375 "cadiz|cadiz" -6.28414575 36.52171152
376 "cadiz|chiclanadelafrontera" -6.14620494 36.41836916
377 "cadiz|conildelafrontera" -6.08856877 36.27458798
378 "cadiz|elbosque" -5.50561856 36.75881857
379 "cadiz|elgastor" -5.32314518 36.85490181
380 "cadiz|elpuertodesantamaria" -6.22915634 36.60012378
381 "cadiz|espera" -5.80597479 36.87151829
